Date,National Net Migration
1946,71719
1947,64127
1948,125414
1949,95217
1950,73912
1951,167117
1952,103939
1953,110893
1954,97077
1955,48053
1956,96104
1957,207781
1958,63170
1959,37739
1960,28515
1961,-616
1962,-2154
1963,9588
1964,20176
1965,41451
1966,103254
1967,114414
1968,83938
1969,71442
1970,66752
1971,72966
1972,98806
1973,151414
1974,174468
1975,161532
1976,118168
1977,83826
1978,51651
1979,95534
1980,140744
1981,134471
1982,86550
1983,61943
1984,59186
1985,68456
1986,115648
1987,164065
1988,245917
1989,232166
1990,180462
1991,134719
1992,174202
1993,142805
1994,152213
1995,161792
1996,166553
1997,154022
1998,117263
1999,158015
2000,198753
2001,241733
2002,212505
2003,195200
2004,198178
2005,216053
2006,220354
2007,234873
2008,272667
2009,272256
2010,255423
2011,250434
2012,263090
2013,269806
2014,241145
2015,27697
