REF_DATE,VALUE
0,1962,796675
264,1963,874572
528,1964,960917
792,1965,989451
1056,1966,1094889
1320,1967,1188704
1584,1968,1335444
1848,1969,1470760
2112,1970,1574223
2376,1971,1648818
2640,1972,1650230
2904,1973,1809135
3168,1974,2009886
3432,1975,2132507
3696,1976,2182777
3960,1977,2226605
4266,1978,2305968
4572,1979,2485630
4878,1980,2692158
5184,1981,2850060
5490,1982,2838837
5796,1983,2249244
6219,1984,2239493
6642,1985,2270295
7065,1986,2374251
7488,1987,2470960
7911,1988,2486480
8334,1989,2532837
8757,1990,2719533
9180,1991,2992708
9603,1992,2951533
10014,1993,2840722
10425,1994,2746887
10836,1995,2737388
11247,1996,2744896
11658,1997,2636563
12069,1998,2567894
12458,1999,2475915
12864,2000,2476520
